CertifiedFresh_Year,CertifiedFresh_Count,,,
1969,5,,,
1970,4,,,
1971,7,,,
1972,6,,,
1973,8,,,
1974,7,,,
1975,6,,,
1976,10,,,
1977,5,,,
1978,9,,,
1979,9,,,
1980,11,,,
1981,8,,,
1982,13,,,
1983,10,,,
1984,16,,,
1985,7,,,
1986,15,,,
1987,18,,,
1988,18,,,
1989,14,,,
1990,14,,,
1991,14,,,
1992,22,,,
1993,26,,,
1994,20,,,
1995,25,,,
1996,26,,,
1997,25,,,
1998,33,,,
1999,35,,,
2000,35,,,
2001,36,,,
2002,50,,,
2003,51,,,
2004,50,,,
2005,59,,,
2006,77,,,
2007,74,,,
2008,55,,,
2009,71,,,
2010,67,,,
2011,75,,,
2012,84,,,
2013,67,,,
2014,82,,,
2015,74,,,
2016,63,,,
2017,51,,,
2018,18,,,
2019,11,,,
