Rotten_Year,Rotten_Count,,,
1969,1,,,
1970,2,,,
1971,1,,,
1972,1,,,
1973,2,,,
1974,3,,,
1975,1,,,
1976,2,,,
1977,2,,,
1978,7,,,
1979,7,,,
1980,6,,,
1981,6,,,
1982,11,,,
1983,14,,,
1984,12,,,
1985,25,,,
1985,21,,,
1986,21,,,
1987,33,,,
1988,29,,,
1989,31,,,
1990,38,,,
1991,48,,,
1992,47,,,
1993,71,,,
1994,72,,,
1995,71,,,
1996,76,,,
1997,81,,,
1998,84,,,
1999,98,,,
2000,109,,,
2001,101,,,
2002,102,,,
2003,117,,,
2004,143,,,
2005,184,,,
2006,157,,,
2007,145,,,
2008,141,,,
2009,118,,,
2010,98,,,
2011,105,,,
2012,101,,,
2013,91,,,
2014,74,,,
2015,63,,,
2016,50,,,
2017,7,,,
2018,7,,,
