movie_title,rating,genre,in_theaters_date,on_streaming_date,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
The Italian Job,G,"Action & Adventure, Classics, Comedy, Drama, Mystery & Suspense",1969-01-01,2003-10-07,99,Fresh,83,29,Upright,86,71084,6,24,5
Easy Rider,R,"Action & Adventure, Drama",1969-01-01,1999-12-07,95,Certified Fresh,88,48,Upright,82,58671,7,42,6
Where Eagles Dare,PG,"Action & Adventure, Art House & International, Classics, Drama",1969-03-12,2003-09-02,158,Fresh,91,22,Upright,89,27623,6,20,2
The Love Bug,G,"Action & Adventure, Classics, Comedy, Kids & Family, Science Fiction & Fantasy",1969-03-13,2003-05-20,110,Fresh,75,16,Upright,66,39822,5,12,4
Midnight Cowboy,R,"Classics, Drama",1969-05-25,2000-01-01,113,Certified Fresh,91,69,Upright,88,39927,15,63,6
True Grit,G,"Classics, Western",1969-06-11,2000-03-21,128,Certified Fresh,88,52,Upright,84,26106,15,46,6
The Wild Bunch,R,"Action & Adventure, Drama, Western",1969-06-18,1997-08-27,145,Certified Fresh,93,57,Upright,91,34178,16,53,4
Butch Cassidy and the Sundance Kid,PG,"Action & Adventure, Classics, Western",1969-10-24,2000-05-16,110,Certified Fresh,90,49,Upright,92,71088,8,44,5
Frosty the Snowman,G,"Animation, Kids & Family",1969-12-07,2001-07-25,30,Fresh,73,15,Upright,72,35106,5,11,4
"Hello, Dolly!",G,"Classics, Comedy, Musical & Performing Arts",1969-12-16,2003-08-19,146,Rotten,43,30,Upright,76,21168,5,13,17
On Her Majesty's Secret Service,PG,"Action & Adventure, Mystery & Suspense, Romance",1969-12-18,2000-05-16,144,Certified Fresh,82,49,Upright,64,51367,7,40,9
Patton,PG,"Classics, Drama",1970-04-02,1999-11-02,170,Certified Fresh,96,45,Upright,93,43253,10,43,2
Beneath The Planet Of The Apes,G,"Action & Adventure, Science Fiction & Fantasy",1970-05-26,2000-09-05,108,Rotten,38,32,Spilled,38,23792,4,12,20
Two Mules for Sister Sara,PG,"Classics, Comedy, Western",1970-06-16,2003-05-06,114,Fresh,64,11,Upright,73,14216,1,7,4
Kelly's Heroes,PG,"Action & Adventure, Classics, Comedy, Drama",1970-06-23,2000-08-01,143,Fresh,76,21,Upright,88,31185,3,16,5
Catch-22,R,"Classics, Comedy, Drama",1970-06-24,2001-05-22,122,Fresh,79,28,Upright,76,10528,4,22,6
